Dijkster's vs A-Star Center to Corner
,j,j^2,Microseconds, , , , , , , , , , Average
Dijkstra's, 23, 529, 2836294, 2816702, 2913732, 2843759, 3405886, 2865684, 2962715, 3173104, 2822766, 3045751, 2968639
A-Star    , 23, 529, 263570, 246776, 280364, 248175, 313952, 261238, 267302, 263104, 260305, 275699, 268048
Dijkstra's, 24, 576, 5088070, 5092735, 4744263, 5102531, 5119791, 4821701, 4901005, 5154312, 4995703, 4612710, 4963282
A-Star    , 24, 576, 391856, 380194, 372263, 377395, 390457, 381594, 383460, 390923, 374129, 378328, 382059
Dijkstra's, 25, 625, 6391926, 6428312, 6458168, 6434377, 6268770, 6420382, 6314021, 6485224, 6399856, 6544003, 6414503
A-Star    , 25, 625, 472561, 472094, 494952, 480025, 474426, 478624, 482356, 459965, 483756, 475360, 477411
Dijkstra's, 26, 676, 7975213, 7952820, 7828266, 7941625, 7852524, 8015330, 7893109, 7827799, 9205828, 7872117, 8036463
A-Star    , 26, 676, 580321, 603179, 575190, 601313, 569591, 593383, 570524, 551864, 630236, 569592, 584519
Dijkstra's, 27, 729, 9574360, 9585556, 9645734, 9599085, 9607947, 9705912, 9662994, 11362438, 9475463, 9564564, 9778405
A-Star    , 27, 729, 680151, 692746, 692747, 678751, 687615, 686215, 678751, 662424, 666156, 683883, 680943
Dijkstra's, 28, 784, 11586356, 11493990, 11480929, 11486060, 11648400, 11591022, 11524779, 11507519, 11386696, 11478595, 11518434
A-Star    , 28, 784, 767386, 773916, 757122, 772983, 789311, 779048, 9196032, 786512, 747793, 783246, 1615334
Dijkstra's, 29, 841, 13576894, 13627742, 13626343, 13748098, 13600218, 13587623, 13673925, 13585291, 13663662, 13508785, 13619858
A-Star    , 29, 841, 878412, 887275, 879811, 895672, 857419, 879345, 878412, 888208, 889141, 880744, 881443
Dijkstra's, 30, 900, 15902375, 15909373, 23980217, 16056786, 15910306, 16053520, 15875785, 15856192, 15985878, 15931764, 16746219
A-Star    , 30, 900, 1005765, 1010430, 1011363, 1001566, 992703, 992237, 989904, 1008564, 997835, 997368, 1000773
Dijkstra's, 31, 961, 18583793, 18606185, 18685023, 18484896, 18290368, 18453641, 18523616, 18623912, 18692487, 18223658, 18516757
A-Star    , 31, 961, 1111193, 1137783, 1093466, 1054747, 1079472, 1068275, 1082270, 1118657, 1113992, 1057079, 1091693
Dijkstra's, 32, 1024, 21775558, 21490995, 21781155, 21591759, 21663132, 21526916, 21537179, 21675727, 21898712, 21579630, 21652076
