Dijkster's vs A-Star Corner to Corner
,j,j^2,Microseconds, , , , , , , , , , Average
A-Star    , 41, 1681, 1798341, 1872514, 1651862, 1530573, 1560428, 1624338, 1572091, 1714372, 1537104, 1901437, 1676306
Dijkstra's, 42, 1764, 80561493, 80322180, 79534736, 80136516, 79105560, 80083801, 80134183, 79954115, 80235413, 79893937, 79996193
A-Star    , 42, 1764, 2240579, 1982607, 2093166, 1922896, 1993803, 1725101, 1783880, 1717171, 1773150, 2091767, 1932412
Dijkstra's, 43, 1849, 94165910, 90060748, 88724237, 88407952, 88937892, 88862319, 88796077, 88838995, 88818003, 88636535, 89424866
A-Star    , 43, 1849, 2824632, 1830996, 1991470, 2057713, 2138883, 1997069, 1909834, 1846857, 1899104, 2046984, 2054354
Dijkstra's, 44, 1936, 101122296, 99091639, 100168312, 99016067, 99757329, 99614581, 100513518, 99710213, 99554870, 100892780, 99944160
A-Star    , 44, 1936, 2341809, 2269035, 2099231, 2007332, 2103430, 2038120, 2136084, 1939223, 2179002, 2076840, 2119010
Dijkstra's, 45, 2025, 112313996, 111650639, 111098309, 111636178, 111388469, 111344152, 110805816, 110740040, 111115568, 111264380, 111335754
A-Star    , 45, 2025, 2108094, 2379595, 2548933, 2390791, 2175269, 2445837, 2756524, 2378662, 2377729, 2363268, 2392470
Dijkstra's, 46, 2116, 124290809, 122659940, 123436190, 123188013, 131298976, 122576438, 129819252, 126462815, 123860701, 123355019, 125094815
A-Star    , 46, 2116, 2527008, 2758856, 2925862, 2591385, 2377729, 2304022, 2808304, 2404786, 2749527, 2782181, 2622966
Dijkstra's, 47, 2209, 137086323, 136306809, 135619661, 135626658, 136415502, 135742348, 147462123, 140071896, 137134839, 135966734, 137743289
A-Star    , 47, 2209, 2993037, 2621706, 2595116, 2673488, 2706142, 2914666, 2942655, 3541170, 2604913, 2983240, 2857613
Dijkstra's, 48, 2304, 151775810, 150906728, 150555923, 152873941, 150450962, 150355796, 149490447, 149023485, 151167966, 148507073, 150510813
A-Star    , 48, 2304, 3667590, 2910001, 2986506, 2937524, 2870815, 3333579, 3124589, 2877812, 2931926, 3612543, 3125288
Dijkstra's, 49, 2401, 165706773, 163403684, 164898337, 164704740, 162852753, 163865982, 162926925, 162862549, 163044016, 165082136, 163934789
A-Star    , 49, 2401, 3607879, 3139516, 3026158, 3110594, 2911867, 3174971, 3270136, 3333113, 3049017, 3793544, 3241679
Dijkstra's, 50, 2500, 181504654, 179836932, 179253346, 178736468, 180998506, 178604917, 178851693, 180223657, 178009201, 178774720, 179479409
A-Star    , 50, 2500, 3484724, 3653595, 3577090, 3502917, 3392824, 3611144, 4161609, 3688582, 3136718, 3515046, 3572424

Dijkster's vs A-Star Center to Corner
,j,j^2,Microseconds, , , , , , , , , , Average
Dijkstra's, 10, 100, 612509, 592916, 141348, 102163, 101229, 99830, 86302, 87701, 85835, 88167, 199800
A-Star    , 10, 100, 168871, 155809, 61111, 32188, 45250, 29856, 33588, 30789, 28456, 27057, 61297
Dijkstra's, 11, 121, 117091, 124555, 105895, 104495, 108227, 105895, 105895, 105895, 106827, 107294, 109206
A-Star    , 11, 121, 40119, 33121, 29389, 25190, 34054, 29856, 33121, 25657, 27523, 27057, 30508
Dijkstra's, 12, 144, 143680, 141814, 144148, 143214, 142748, 145081, 143681, 146013, 142748, 144147, 143727
A-Star    , 12, 144, 33588, 38719, 32188, 35453, 36386, 33588, 33121, 32188, 29389, 40585, 34520
Dijkstra's, 13, 169, 199660, 210390, 201059, 202460, 195462, 199661, 196861, 198727, 197327, 197794, 199940
A-Star    , 13, 169, 41051, 45716, 50848, 38719, 37319, 44783, 36854, 45717, 37786, 38253, 41704
Dijkstra's, 14, 196, 262170, 259838, 275699, 265436, 260305, 261704, 259838, 258905, 257972, 258905, 262077
A-Star    , 14, 196, 50848, 46649, 53647, 57379, 52247, 44317, 50381, 52247, 52247, 55513, 51547
Dijkstra's, 15, 225, 355936, 354536, 350338, 349872, 349405, 350338, 349872, 376462, 355003, 355003, 354676
A-Star    , 15, 225, 65776, 60645, 62977, 59711, 61111, 69041, 55980, 64377, 62044, 60178, 62184
Dijkstra's, 16, 256, 465097, 464630, 465563, 469761, 468362, 467895, 473027, 462297, 461364, 482356, 468035
A-Star    , 16, 256, 99364, 83037, 74640, 89567, 78837, 84902, 63443, 73707, 74173, 74173, 79584
Dijkstra's, 17, 289, 590584, 599913, 590117, 587785, 593849, 585919, 580788, 588251, 587318, 599914, 590443
A-Star    , 17, 289, 87701, 82570, 89100, 79771, 88168, 78838, 95632, 94698, 123622, 83503, 90360
Dijkstra's, 18, 324, 753857, 757123, 746393, 746860, 739863, 740329, 740795, 822432, 753391, 741261, 754230
A-Star    , 18, 324, 97964, 111026, 107761, 97497, 132952, 106827, 110560, 108228, 93766, 109626, 107620
Dijkstra's, 19, 361, 937190, 938589, 1021626, 947453, 933924, 936257, 936724, 936257, 936723, 944654, 946939
A-Star    , 19, 361, 133884, 116158, 125487, 136683, 114758, 131085, 116158, 122688, 123155, 109626, 122968
Dijkstra's, 20, 400, 1159242, 1153644, 1160175, 1256739, 1159709, 1160642, 1162508, 1161575, 1165307, 1219886, 1175942
A-Star    , 20, 400, 150211, 169805, 182867, 150212, 155343, 124554, 132485, 129686, 124088, 151145, 147039
Dijkstra's, 21, 441, 1445671, 1437740, 1412550, 1520776, 1474127, 1411150, 1426077, 1545967, 1406019, 1455467, 1453554
A-Star    , 21, 441, 201526, 162807, 165139, 138549, 169804, 181933, 181467, 168405, 149279, 166539, 168544
Dijkstra's, 22, 484, 1792277, 1786679, 1754024, 1783880, 1751225, 1765220, 1967213, 1878578, 1797875, 1960682, 1823765
A-Star    , 22, 484, 177269, 177269, 215054, 195461, 190330, 186132, 236513, 186598, 213188, 186598, 196441
Dijkstra's, 23, 529, 2856354, 3322383, 2804106, 2942189, 2838160, 2821834, 3045752, 3248677, 2840493, 2759789, 2947973
A-Star    , 23, 529, 322816, 304622, 340542, 285962, 285029, 272433, 333078, 303222, 301823, 275232, 302475
Dijkstra's, 24, 576, 5133320, 5099265, 4811904, 5153379, 5065211, 4624840, 5003167, 5214024, 5024160, 4885144, 5001441
A-Star    , 24, 576, 521542, 607844, 448769, 454834, 483289, 456233, 415182, 464630, 396521, 413782, 466262
Dijkstra's, 25, 625, 6390059, 6424114, 6510416, 6490822, 6425513, 6408719, 6285564, 7773220, 6448371, 6348074, 6550487
A-Star    , 25, 625, 527141, 666156, 575189, 546734, 544868, 578921, 475826, 567725, 561661, 534604, 557882
Dijkstra's, 26, 676, 7881913, 7922498, 7836197, 7857189, 7870251, 7818936, 7985942, 7813338, 7982210, 7877715, 7884618
A-Star    , 26, 676, 792110, 676418, 712806, 624638, 726800, 654027, 667555, 673620, 668488, 672687, 686914
Dijkstra's, 27, 729, 9568295, 9602816, 9684919, 9718040, 9621943, 9509984, 9534708, 9587889, 9535641, 9627074, 9599130
A-Star    , 27, 729, 755257, 779515, 723535, 775316, 727267, 737996, 750592, 774850, 835028, 852288, 771164
Dijkstra's, 28, 784, 11447340, 11491191, 11592420, 11573761, 11470199, 11467866, 11403490, 11477663, 11433346, 11462268, 11481954
A-Star    , 28, 784, 933925, 858353, 798175, 939523, 941855, 939989, 865816, 888675, 846690, 887275, 890027
Dijkstra's, 29, 841, 13537242, 13568497, 13646402, 13667394, 13694451, 13555435, 13545639, 13556368, 13558701, 13575028, 13590515
A-Star    , 29, 841, 1046351, 995502, 978242, 1024892, 974976, 1100464, 1095332, 9859389, 1109327, 922263, 1910673
Dijkstra's, 30, 900, 15914504, 15844064, 15986811, 15947159, 23864526, 15925700, 15907507, 15891646, 15882316, 15853393, 16701762
A-Star    , 30, 900, 1011363, 1184433, 1088802, 1063611, 1103729, 1082271, 1229683, 1112126, 1189098, 1223618, 1128873
Dijkstra's, 31, 961, 18542741, 18451309, 18536677, 18401860, 18287569, 18572131, 18516151, 18263311, 18412589, 18576795, 18456113
A-Star    , 31, 961, 1312253, 1261871, 1238547, 1196562, 1186299, 1308987, 1124722, 1102330, 1248343, 1237147, 1221706
Dijkstra's, 32, 1024, 21621148, 21615550, 21783021, 21562369, 21742436, 21756432, 21648205, 21518052, 21578696, 21616483, 21644239
A-Star    , 32, 1024, 1519377, 1569758, 1378028, 1269335, 1543634, 1541768, 1317384, 1358436, 1413016, 1639267, 1455000
Dijkstra's, 33, 1089, 24600190, 24690690, 25285472, 24601123, 24837170, 24796118, 24570801, 24519020, 25087212, 24649172, 24763696
A-Star    , 33, 1089, 1546433, 1469462, 1410217, 1582820, 1496518, 1615475, 1559496, 1452668, 1530106, 1571625, 1523482
Dijkstra's, 34, 1156, 28784657, 28882154, 28784657, 28488432, 28760866, 28504760, 28793521, 28603191, 28624649, 28636311, 28686319
A-Star    , 34, 1156, 1751225, 1691980, 1675186, 1905636, 1649996, 1738163, 1709707, 1647663, 1667256, 1810004, 1724681
Dijkstra's, 35, 1225, 32593595, 32800253, 32479304, 32770397, 32740541, 33043764, 32612256, 33176715, 32790456, 32399533, 32740681
A-Star    , 35, 1225, 2212123, 1895373, 1943888, 1881377, 1980275, 2036255, 1943421, 1891640, 1807672, 1762888, 1935491
